Year Month,Postal Code,Customer Class,Total Gallons
201202,,Irrigation - Residential,33500
201202,78613,Irrigation - Multi-Family,2000
201202,78613,Multi-Family,20700
201202,78617,Multi-Family,4661800
201202,78617,Residential,17429500
201202,78652,Irrigation - Residential,42200
201202,78652,Multi-Family,14100
201202,78652,Residential,585400
201202,78653,Multi-Family,89500
201202,78653,Residential,826500
201202,78660,Multi-Family,144500
201202,78660,Residential,6366200
201202,78701,Irrigation - Multi-Family,90300
201202,78701,Multi-Family,12086900
201202,78701,Residential,819600
201202,78702,Irrigation - Multi-Family,534800
201202,78702,Irrigation - Residential,6300
201202,78702,Multi-Family,8213200
201202,78702,Residential,23864100
201202,78703,Irrigation - Multi-Family,311500
201202,78703,Irrigation - Residential,654000
201202,78703,Multi-Family,11063200
201202,78703,Residential,37378500
201202,78704,Irrigation - Multi-Family,761700
201202,78704,Irrigation - Residential,101400
201202,78704,Multi-Family,43075000
201202,78704,Residential,36101000
201202,78705,Irrigation - Multi-Family,313000
201202,78705,Irrigation - Residential,48700
201202,78705,Multi-Family,29819100
201202,78705,Residential,8182700
201202,78712,Residential,0
201202,78717,Irrigation - Multi-Family,1303100
201202,78717,Irrigation - Residential,0
201202,78717,Multi-Family,7520400
201202,78717,Residential,19562600
201202,78719,Multi-Family,584700
201202,78719,Residential,1562400
201202,78721,Irrigation - Multi-Family,0
201202,78721,Irrigation - Residential,900
201202,78721,Multi-Family,3711200
201202,78721,Residential,13099100
201202,78722,Irrigation - Multi-Family,0
201202,78722,Multi-Family,2278400
201202,78722,Residential,7240400
201202,78723,Irrigation - Multi-Family,151300
201202,78723,Multi-Family,19001300
201202,78723,Residential,29398800
201202,78724,Irrigation - Multi-Family,327200
201202,78724,Irrigation - Residential,17900
201202,78724,Multi-Family,9522300
201202,78724,Residential,16930700
201202,78725,Irrigation - Multi-Family,0
201202,78725,Multi-Family,206700
201202,78725,Residential,1816000
201202,78726,Irrigation - Multi-Family,2313800
201202,78726,Irrigation - Residential,1700
201202,78726,Multi-Family,11423300
201202,78726,Residential,11340900
201202,78727,Irrigation - Multi-Family,1738100
201202,78727,Irrigation - Residential,1600
201202,78727,Multi-Family,18099300
201202,78727,Residential,30588800
201202,78728,Irrigation - Multi-Family,187900
201202,78728,Multi-Family,6345400
201202,78728,Residential,3114100
201202,78729,Irrigation - Multi-Family,1121900
201202,78729,Irrigation - Residential,3000
201202,78729,Multi-Family,19837500
201202,78729,Residential,17513400
201202,78730,Irrigation - Multi-Family,542500
201202,78730,Irrigation - Residential,163700
201202,78730,Multi-Family,4058800
201202,78730,Residential,4248600
201202,78731,Irrigation - Multi-Family,529500
201202,78731,Irrigation - Residential,201800
201202,78731,Multi-Family,15865500
201202,78731,Residential,41961000
201202,78733,Residential,20800
201202,78735,Irrigation - Multi-Family,524000
201202,78735,Multi-Family,8649700
201202,78735,Residential,13662900
