"","TCAD.or.WCAD.Property.ID..s.","Duct.System.1...Type","Duct.System.1...RValue","Duct.System.1...Return.Sizing","Duct.System.1.....Leakage","System.1...Location.Air.Handler","System.1...Air.Handler.Type","System.1...Age..years.","System.1...sqft.ton","Water.Heater...Fuel.Type","Water.Heating...Tank.Type","Toilet.Type","Programmable.Thermostat.Present","Window.Screen.Area.Recommended..sqft.","Furnace...Fuel.Type","Attic.R.Value","Recommended.Additional.R.Value","Year.Built","Bedrooms","Conditioned..sqft.","Attic..sqft.","Home_Type","Lat","Long","set","NeedsDuctFixed"
"5","574898","Mylar_Flex",4,"Adequate",7,"Closet","Up Flow",15,542,"Elec","Tank","Water_Saving","Y",55,"Gas",25,0,1982,3,1356,1036,"Single Family",30.1927856640004,-97.8269286599997,"train","0"
"6","534406","Mylar_Flex",6,"Adequate",19,"Attic","Horizontal",11,540,"Gas","Tank","Water_Saving","Y",0,"Gas",30,8,2002,4,2160,2160,"Single Family",30.1457077530005,-97.8116521459997,"train","0"
"7","216111","Mylar_Flex",8,"Adequate",14,"Attic","Horizontal",17,435,"Elec","Tank","Water_Saving","Y",116,"Elec",19,19,1934,2,870,870,"Single Family",30.3076354890005,-97.7213326259997,"train","0"
"10","207026","Mylar_Flex",6,"Adequate",21,"Attic","Horizontal",17,524,"Gas","Tank","Water_Saving","N",0,"Gas",19,19,1939,2,1064,1064,"Single Family",30.2862462380004,-97.7221368409997,"test","0"
"11","204835","Sheet_Metal",4,"Adequate",58,"Closet","Up Flow",11,496,"Elec","Tank","Water_Saving","N",0,"Gas",22,16,1968,3,1242,0,"Single Family",30.3472123430005,-97.7618080959997,"train","1"
"12","728350","Mylar_Flex",6,"Adequate",17,"Closet","Up Flow",6,427,"Elec","Tank","Water_Saving","N",20,"Elec",0,0,1980,1,641,0,"Condo",30.2441558750004,-97.7547685079997,"test","0"
"13","306113","Mylar_Flex",6,"Adequate",11,"Attic","Horizontal",8,470,"Gas","Tank","Water_Saving","Y",0,"Elec",48,0,1975,3,1880,1880,"Single Family",30.2440338800005,-97.8234654469996,"test","0"
"15","136391","Mylar_Flex",5,"Adequate",50.2,"Attic","Horizontal",14,581,"Gas","Tank","Water_Saving","Y",92,"Gas",20,18,1990,3,2325,1000,"Single Family",30.3601223790005,-97.7771159639997,"train","1"
"16","156439","Grey_Flex",6,"Adequate",21,"Attic","Horizontal",7,510,"Elec","Tank","Standard","N",0,"Elec",35,0,1991,3,2553,1275,"Single Family",30.4081575130004,-97.7605673769997,"train","0"
"17","325429","Grey_Flex",6,"Adequate",14.7,"Attic","Horizontal",10,576,"Elec","Tank","Water_Saving","Y",15,"Elec",0,0,1967,3,864,864,"Single Family",30.2056270320005,-97.7818429269997,"train","0"
"19","733527","Mylar_Flex",8,"Adequate",8,"Attic","Horizontal",6,625,"Gas","Tank","Water_Saving","Y",0,"Gas",27,0,2008,3,1563,1563,"Single Family",30.1888806650005,-97.7995687999997,"train","0"
"20","118300","Mylar_Flex",6,"Adequate",9.3,"Attic","Horizontal",15,572,"Gas","Tank","Water_Saving","Y",0,"Gas",28,10,1999,3,1715,1565,"Single Family",30.3025247630005,-97.7577271639997,"train","0"
"22","426034","Sheet_Metal",4,"Adequate",23,"Closet","Up Flow",9,310,"Elec","Tank","Water_Saving","N",0,"Gas",11,27,1968,1,620,0,"Condo",30.3277147850005,-97.7335450739997,"train","0"
"23","242093","Sheet_Metal",6,"Inadequate",13,"Closet","Up Flow",3,580,"Gas","Tank","Standard","Y",0,"Gas",22,16,1970,4,1740,1295,"Single Family",30.3539743300005,-97.6760396209997,"train","0"
"27","347926","Grey_Flex",6,"Inadequate",8,"Closet","Up Flow",21,565,"Gas","Tank","Standard","N",222,"Gas",26,12,1993,3,1696,840,"Single Family",30.1631813460004,-97.8155002929997,"test","0"
"28","499768","Grey_Flex",6,"Adequate",21,"Closet","Up Flow",12,457,"Gas","Tank","Standard","N",0,"Gas",17.6,20.4,1983,2,913,913,"Duplex",30.2939176580005,-97.6310154749997,"train","0"
"29","585705","Sheet_Metal",4,"Adequate",11,"Closet","Up Flow",17,564,"Elec","Tank","Water_Saving","Y",0,"Elec",18,20,1968,4,2820,2820,"Single Family",30.4231497690005,-97.7409926409997,"test","0"
"30","156568","Duct_Board",4,"Adequate",20,"Closet","Up Flow",11,499,"Gas","Tank","Water_Saving","Y",0,"Gas",34,0,1982,3,2746,1373,"Single Family",30.4097173810005,-97.7633460019997,"test","0"
"31","317244","Mylar_Flex",6,"Inadequate",16,"Closet","Up Flow",17,440,"Gas","Tank","Water_Saving","N",46,"Gas",17,21,1972,4,1320,1000,"Single Family",30.2158863870005,-97.7871301309997,"train","0"
"32","202605","Mylar_Flex",6,"Adequate",10,"Attic","Horizontal",14,456,"Gas","Tank","Water_Saving","N",65,"Gas",12,26,1945,2,1140,1140,"Single Family",30.2824466520005,-97.6926296449997,"test","0"
"33","553387","Duct_Board",6,"Adequate",11,"Attic","Horizontal",11,597,"Gas","Tank","Water_Saving","Y",110,"Gas",22,0,1997,3,1793,1793,"Single Family",30.2382740970004,-97.8470802049997,"test","0"
"34","323729","Duct_Board",4,"Adequate",21,"Attic","Horizontal",17,477,"Gas","Tank","Water_Saving","N",60,"Elec",0,26,1973,3,1192,1192,"Single Family",30.2074664200005,-97.8103528479997,"train","0"
"35","242696","Sheet_Metal",4,"Adequate",26.1,"Closet","Up Flow",20,470,"Elec","Tank","Standard","N",0,"Gas",6,32,1965,2,1176,1176,"Single Family",30.3574861040005,-97.7128581749997,"train","1"
"36","126696","Mylar_Flex",6,"Adequate",12.5,"Attic","Up Flow",16,453,"Elec","Tank","Water_Saving","Y",0,"Elec",38,0,1998,5,5076,0,"Single Family",30.3354276600004,-97.7946925859997,"train","0"
"39","246777","Sheet_Metal",2,"Adequate",18,"Garage","Up Flow",23,500,"Elec","Tank","Water_Saving","Y",0,"Elec",8,30,1969,4,2488,1160,"Single Family",30.3645463690004,-97.6784688439997,"train","0"
"40","120891","Sheet_Metal",4,"Adequate",30.7,"Closet","Up Flow",18,831,"Elec","Tank","Water_Saving","Y",114,"Elec",9,29,1964,4,3325,0,"Single Family",30.3086765860004,-97.7716084429996,"train","1"
"42","195939","Sheet_Metal",8,"Adequate",42,"Closet","Up Flow",15,484,"Gas","Tank","Water_Saving","Y",60,"Gas",28,0,1977,3,1210,1200,"Single Family",30.2688733180005,-97.7131613849997,"train","1"
"45","332028","Mylar_Flex",6,"Adequate",17,"Attic","Horizontal",13,476,"Gas","Tank","Water_Saving","N",0,"Gas",30,8,2000,3,1902,1902,"Single Family",30.2054138380005,-97.8777883919997,"train","0"
"46","188104","Sheet_Metal",4,"Adequate",8,"Closet","Up Flow",11,453,"Elec","Tank","Standard","Y",0,"Elec",0,0,1983,2,1360,0,"Condo",30.2699103510005,-97.7436372829997,"test","0"
"47","750740","Mylar_Flex",6,"Adequate",22.8,"Attic","Horizontal",9,416,"Gas","Tankless","Water_Saving","Y",72,"Gas",30,8,1929,2,832,832,"Single Family",30.3130565330005,-97.7553287339997,"train","0"
"48","254732","Sheet_Metal",6,"Adequate",13,"Closet","Up Flow",17,517,"Elec","Tank","Standard","Y",174,"Gas",26,12,1976,3,1552,1242,"Single Family",30.3752368500005,-97.6643198879997,"train","0"
"49","R065595","Duct_Board",6,"Adequate",15,"Attic","Horizontal",12,400,"Elec","Tank","Water_Saving","Y",0,"Elec",20,0,1975,4,1600,1600,"Single Family",30.4541457100005,-97.7843183469997,"train","0"
"50","219018","Sheet_Metal",4,"Adequate",20,"Closet","Up Flow",5,593,"Gas","Tank","Water_Saving","N",90,"Elec",14,22,1968,3,1779,0,"Single Family",30.3109009070005,-97.6855421379997,"train","0"
"51","437503","Sheet_Metal",4,"Adequate",21.3,"Closet","Up Flow",16,490,"Gas","Tank","Water_Saving","Y",34,"Gas",20,18,1950,3,1715,0,"Single Family",30.2585038120005,-97.7665249579996,"train","0"
"54","325915","Sheet_Metal",5,"Adequate",18,"Closet","Up Flow",5,585,"Gas","Tank","Standard","Y",0,"Gas",19,19,1970,4,1464,1464,"Single Family",30.2038752900004,-97.8100875409997,"test","0"
"55","131639","Sheet_Metal",6,"Adequate",9,"Closet","Horizontal",10,471,"Gas","Tank","Water_Saving","Y",0,"Elec",28,0,1985,5,2827,1544,"Single Family",30.3482761350004,-97.7661388399997,"train","0"
"56","223915","Sheet_Metal",4,"Adequate",16,"Closet","Up Flow",20,400,"Gas","Tank","Water_Saving","N",82,"Gas",6,32,1964,3,1200,1200,"Single Family",30.3148059060005,-97.6688384099997,"test","0"
"58","330076","Mylar_Flex",6,"Inadequate",46,"Garage","Up Flow",23,385.2,"Elec","Tank","Water_Saving","N",44,"Elec",15,23,1971,3,963,963,"Single Family",30.2031646440005,-97.7873220049997,"train","1"
"59","337087","Mylar_Flex",6,"Adequate",16,"Closet","Up Flow",21,768,"Elec","Tank","Standard","Y",171,"Elec",26,12,1993,3,1920,1080,"Single Family",30.1954790110005,-97.8338610099997,"test","0"
"63","228768","Mylar_Flex",8,"Inadequate",22,"Attic","Horizontal",18,366,"Gas","Tank","Water_Saving","Y",183,"Gas",19,19,1950,2,916,916,"Single Family",30.3299450280005,-97.7345624809997,"train","0"
"64","309425","Duct_Board",5,"Adequate",45,"Attic","Horizontal",10,548,"Gas","Tank","Water_Saving","N",42,"Elec",15,23,1980,4,1917,1050,"Single Family",30.2376937360004,-97.8952773829997,"test","1"
"65","739619","Duct_Board",4,"Adequate",25,"Closet","Up Flow",11,402,"Elec","Tank","Water_Saving","Y",0,"Gas",19,19,1971,1,603,603,"Condo",30.3003655840005,-97.7372783319997,"train","0"
"66","226928","Sheet_Metal",4,"Adequate",16.7,"Garage","Up Flow",9,592,"Elec","Tank","Water_Saving","Y",275,"Elec",25,0,1970,3,2369,800,"Single Family",30.3202719550005,-97.6754533369997,"test","0"
"67","220558","Grey_Flex",3,"Adequate",41,"Closet","Up Flow",13,490,"Gas","Tank","Water_Saving","Y",120,"Gas",10,28,1954,3,1224,1224,"Single Family",30.3127450330005,-97.7013528209997,"train","1"
"68","141923","Mylar_Flex",6,"Inadequate",42.8,"Closet","Up Flow",15,373.5,"Gas","Tank","Water_Saving","Y",0,"Gas",17.6,20.4,1998,5,4987,1825,"Single Family",30.3668559680004,-97.7778419899997,"train","1"
"70","466881","Mylar_Flex",8,"Adequate",11,"Closet","Up Flow",16,485,"Gas","Tank","Water_Saving","Y",94,"Gas",30,8,1998,3,1454,554,"Single Family",30.1567713220005,-97.8300093099997,"test","0"
"72","379070","Mylar_Flex",6,"Adequate",20,"Attic","Horizontal",15,479,"Elec","Tank","Water_Saving","N",24,"Elec",30,8,1999,4,4040,2393,"Single Family",30.4333524460005,-97.7039301449997,"train","0"
"73","R073924","Grey_Flex",6,"Adequate",31,"Attic","Up Flow",9,588,"Elec","Tank","Standard","Y",0,"Elec",17,21,1981,6,2352,800,"Duplex",30.4485008720005,-97.7805424449997,"train","1"
"75","328452","Grey_Flex",4.2,"Inadequate",57,"Garage","Up Flow",19,448,"Gas","Tank","Water_Saving","Y",117,"Elec",15,23,1978,3,1345,1345,"Single Family",30.2050241680005,-97.7967653029997,"test","1"
"76","153911","Duct_Board",4,"Adequate",35,"Garage","Up Flow",5,500,"Elec","Tank","Standard","Y",569,"Elec",17,21,1990,3,3067,1567,"Single Family",30.3897837680005,-97.8028152659997,"train","1"
"77","276564","Mylar_Flex",4,"Adequate",27,"Closet","Up Flow",20,530,"Gas","Tank","Water_Saving","Y",186,"Gas",22,16,1985,3,1863,800,"Single Family",30.4478755040005,-97.6784179149997,"train","1"
"80","333066","Duct_Board",7,"Adequate",40,"Attic","Horizontal",11,439,"Elec","Tank","Water_Saving","Y",90,"Elec",25,13,1974,4,1368,1300,"Single Family",30.1990867220005,-97.7977057239997,"test","1"
"81","220296","Mylar_Flex",8,"Adequate",15,"Attic","Horizontal",23,360,"Gas","Tank","Water_Saving","N",30,"Gas",25,13,1953,2,720,700,"Single Family",30.3128457070005,-97.7126023439997,"train","0"
"84","220486","Mylar_Flex",6,"Adequate",18,"Closet","Up Flow",18,648,"Gas","Tank","Water_Saving","Y",0,"Gas",25,0,1982,4,1296,1296,"Single Family",30.3111555550005,-97.7021025529997,"train","0"
"85","303907","Mylar_Flex",6,"Adequate",13,"Attic","Horizontal",8,526,"Gas","Tank","Water_Saving","Y",0,"Elec",25,0,1955,2,1577,1577,"Single Family",30.2446841220005,-97.7665190359997,"train","0"
"86","380758","Mylar_Flex",6,"Adequate",9,"Attic","Horizontal",15,448,"Elec","Tank","Water_Saving","N",0,"Gas",26,12,1997,4,2239,778,"Single Family",30.2121744480004,-97.8805575409997,"train","0"
"89","114588","Sheet_Metal",6,"Inadequate",13,"Closet","Up Flow",16,592,"Elec","Tank","Standard","Y",0,"Gas",25,0,1965,3,2072,1642,"Single Family",30.2927794400005,-97.7667215689997,"train","0"
"91","318678","Mylar_Flex",8,"Adequate",10,"Attic","Horizontal",23,466,"Gas","Tank","Water_Saving","Y",98,"Gas",40,0,1991,4,2603,1200,"Single Family",30.2199844450005,-97.8723649799997,"train","0"
"92","219214","Duct_Board",6,"Adequate",34,"Closet","Up Flow",11,588,"Elec","Tankless","Water_Saving","N",0,"Gas",11,27,1965,4,2060,1030,"Single Family",30.3073382030005,-97.6733652239997,"train","1"
"94","371943","Mylar_Flex",8,"Adequate",14.4,"Attic","Horizontal",5,496.8,"Gas","Tank","Standard","Y",0,"Gas",30,8,1996,4,3595,1000,"Single Family",30.2438029210005,-97.8329738869997,"train","0"
"95","262336","Mylar_Flex",6,"Adequate",9,"Attic","Horizontal",9,430,"Elec","Tank","Water_Saving","Y",77,"Elec",12,26,1975,3,1294,1294,"Single Family",30.4104600050005,-97.7362372359997,"test","0"
"97","339843","Grey_Flex",6,"Adequate",15.6,"Garage","Up Flow",6,457,"Gas","Tank","Standard","N",0,"Gas",17,21,1983,3,1143,0,"Single Family",30.1878952370005,-97.8283842999997,"train","0"
"99","284827","Duct_Board",6,"Adequate",14,"Closet","Up Flow",21,481,"Elec","Tank","Water_Saving","Y",0,"Elec",26,0,1993,3,1454,974,"Single Family",30.2442660250005,-97.7332572619997,"train","0"
"101","122591","Duct_Board",4,"Adequate",6.25,"Closet","Up Flow",4,538,"Elec","Tank","Water_Saving","Y",0,"Elec",0,14,1990,5,4499,2884,"Single Family",30.3184278300005,-97.8151118059997,"train","0"
"102","222522","Sheet_Metal",4,"Adequate",19,"Closet","Up Flow",17,493,"Gas","Tank","Water_Saving","N",122,"Gas",19,19,1957,2,985,900,"Single Family",30.3145559950005,-97.6829577559997,"train","0"
"103","256784","Grey_Flex",6,"Adequate",8.12,"Closet","Up Flow",19,400,"Gas","Tank","Water_Saving","Y",36,"Gas",0,28,1978,3,1604,1404,"Single Family",30.3852356350005,-97.7019485799997,"train","0"
"105","251151","Duct_Board",4,"Adequate",27,"Closet","Up Flow",20,406,"Elec","Tank","Water_Saving","Y",125,"Elec",15,0,1975,2,1627,200,"Town Homes",30.3734294410004,-97.7473434449997,"train","1"
"107","131413","Duct_Board",4,"Adequate",32,"Attic","Horizontal",3,521,"Gas","Tank","Water_Saving","Y",186,"Elec",13,25,1980,3,2084,1524,"Single Family",30.3437753790005,-97.7637048779997,"test","1"
"109","297807","Grey_Flex",6,"Adequate",21.2,"Closet","Up Flow",15,373,"Gas","Tank","Standard","N",129,"Gas",15,23,1983,2,887,746,"Duplex",30.1657065080005,-97.7415268099997,"train","0"
"112","503840","Sheet_Metal",4,"Inadequate",50,"Closet","Up Flow",4,488,"Elec","Tank","Water_Saving","N",27,"Gas",18,20,1972,3,1220,995,"Single Family",30.4149441810005,-97.7415350999997,"test","1"
"114","237217","Sheet_Metal",4,"Inadequate",14.4,"Attic","Horizontal",16,578,"Elec","Tank","Water_Saving","Y",0,"Elec",11,27,1964,3,1734,1734,"Single Family",30.3493954020005,-97.7471598619996,"train","0"
"115","333992","Mylar_Flex",6,"Adequate",21,"Closet","Up Flow",3,663,"Gas","Tank","Water_Saving","N",98,"Gas",19,19,1978,3,1327,1327,"Single Family",30.1991956880005,-97.8334677859997,"test","0"
"116","362851","Grey_Flex",8,"Adequate",16,"Closet","Up Flow",15,533,"Gas","Tank","Water_Saving","Y",40,"Gas",38,0,1999,4,1866,1866,"Single Family",30.4195432430005,-97.6846692279997,"train","0"
"117","193636","Mylar_Flex",6,"Adequate",30,"Attic","Horizontal",14,523,"Elec","Tank","Water_Saving","N",0,"Elec",40,0,1945,2,784,584,"Single Family",30.2638372090005,-97.7012959699996,"train","1"
"118","128119","Duct_Board",6,"Inadequate",20,"Closet","Up Flow",21,644,"Elec","Tankless","Water_Saving","N",0,"Gas",28,0,1959,2,2437,1333,"Single Family",30.3361560720004,-97.7660263209997,"train","0"
"119","542278","Duct_Board",4,"Inadequate",42,"Closet","Horizontal",11,455,"Elec","Tank","Water_Saving","Y",20,"Elec",0,0,1982,1,676,0,"Condo",30.3872988770005,-97.7534905299997,"test","1"
"121","102623","Grey_Flex",6,"Adequate",8,"Attic","Horizontal",7,517,"Gas","Tank","Water_Saving","N",98,"Elec",30,8,1940,2,1294,1294,"Single Family",30.2560674820004,-97.7712649639997,"test","0"
"122","552926","Duct_Board",5,"Adequate",35,"Closet","Up Flow",14,425,"Gas","Tank","Standard","Y",60,"Gas",19,19,1976,1,640,420,"Fourplex",30.2400886120005,-97.7807864329997,"train","1"
"124","542853","Grey_Flex",4,"Inadequate",27,"Attic","Horizontal",7,491,"Gas","Tank","Standard","N",130,"Elec",19,19,1983,2,983,495,"Condo",30.4104777710004,-97.7476300719997,"test","1"
"125","261770","Grey_Flex",4,"Inadequate",34.6,"Garage","Up Flow",14,468,"Elec","Tank","Water_Saving","Y",121,"Elec",0,23,1983,3,1641,873,"Single Family",30.3985874840005,-97.7000760279997,"test","1"
"126","503874","Sheet_Metal",6,"Inadequate",17,"Garage","Up Flow",14,392,"Elec","Tank","Standard","Y",0,"Elec",15,23,1972,3,1178,878,"Single Family",30.4134364270005,-97.7406562679997,"train","0"
"128","522555","Mylar_Flex",6,"Adequate",8.2,"Closet","Up Flow",14,514.3,"Gas","Tank","Water_Saving","Y",0,"Gas",22,16,2000,3,2057,1712,"Single Family",30.3625269510005,-97.7876441649997,"test","0"
"129","227661","Duct_Board",4,"Inadequate",27,"Closet","Up Flow",14,367,"Elec","Tank","Water_Saving","Y",30,"Gas",0,0,1968,1,564,0,"Condo",30.3228539680005,-97.7405946789997,"train","1"
"130","139383","Mylar_Flex",6,"Adequate",15.6,"Attic","Horizontal",19,600,"Gas","Tank","Standard","Y",0,"Gas",22,16,1995,3,2883,1500,"Single Family",30.3615652100004,-97.7996919779997,"train","0"
"131","124544","Mylar_Flex",8,"Inadequate",16,"Closet","Up Flow",4,498,"Gas","Tank","Water_Saving","Y",0,"Gas",22,16,1955,3,1992,1992,"Single Family",30.3303726000005,-97.7564491859997,"test","0"
"132","365590","Mylar_Flex",8,"Adequate",5.8,"Attic","Horizontal",9,640,"Gas","Tank","Water_Saving","Y",0,"Elec",38,0,1996,3,2927,0,"Single Family",30.2537759790005,-97.8324113309997,"train","0"
"134","466029","Mylar_Flex",6,"Adequate",14,"Attic","Horizontal",15,581,"Gas","Tank","Water_Saving","Y",0,"Gas",30,0,1999,3,2324,2324,"Single Family",30.1955761320004,-97.8590498479997,"test","0"
"135","124304","Mylar_Flex",6,"Adequate",8,"Attic","Horizontal",20,542,"Elec","Tankless","Water_Saving","Y",0,"Elec",35,0,1950,3,1836,1836,"Single Family",30.3256314080004,-97.7532228529997,"train","0"
"137","160793","Mylar_Flex",10,"Adequate",18,"Attic","Horizontal",2,621,"Elec","Tank","Standard","Y",15,"Elec",30,0,1994,6,4661,2917,"Single Family",30.4201034680004,-97.7741075479997,"train","0"
"139","228719","Mylar_Flex",6,"Adequate",12,"Attic","Horizontal",10,497,"Gas","Tank","Water_Saving","N",180,"Gas",30,0,1950,2,1493,1100,"Single Family",30.3300362270004,-97.7331340829997,"train","0"
"142","227003","Sheet_Metal",2,"Adequate",15.8,"Closet","Up Flow",22,575,"Gas","Tank","Water_Saving","Y",75,"Gas",13,25,1968,3,1725,1725,"Single Family",30.3230114940005,-97.6758003689997,"train","0"
"143","504647","Duct_Board",4,"Adequate",25,"Closet","Up Flow",19,555,"Gas","Tank","Standard","N",0,"Gas",36,2,1978,3,1664,1364,"Single Family",30.4170240030004,-97.7265546879997,"train","0"
"144","344606","Grey_Flex",5,"Adequate",23,"Closet","Up Flow",20,600,"Elec","Tank","Standard","N",15,"Elec",0,0,1984,2,900,0,"Fourplex",30.1773942620005,-97.8229348309997,"train","0"
"148","223631","Mylar_Flex",8,"Adequate",14,"Closet","Up Flow",20,492,"Gas","Tank","Water_Saving","Y",0,"Gas",30,8,1963,3,1231,1231,"Single Family",30.3187701240005,-97.6835582519997,"test","0"
"149","116296","Grey_Flex",4,"Adequate",18,"Attic","Horizontal",8,425,"Gas","Tank","Water_Saving","Y",92,"Elec",0,0,1948,2,850,0,"Condo",30.2940266240005,-97.7792490699997,"test","0"
"151","249814","Sheet_Metal",6,"Adequate",10,"Closet","Up Flow",12,525,"Elec","Tank","Water_Saving","N",0,"Elec",13,26,1969,3,1313,1313,"Single Family",30.3736994860005,-97.7348917469997,"test","0"
"153","345527","Duct_Board",6,"Adequate",24,"Closet","Up Flow",17,431,"Elec","Tank","Water_Saving","Y",0,"Elec",17.6,20.4,1969,4,2805,2805,"Single Family",30.1801539360005,-97.8519552339997,"train","0"
"155","161125","Grey_Flex",6,"Adequate",6,"Attic","Horizontal",12,610,"Gas","Tank","Water_Saving","Y",0,"Elec",23,15,1993,5,3050,3050,"Single Family",30.4166852630005,-97.7898637479997,"train","0"
"156","381314","Mylar_Flex",6,"Inadequate",17,"Closet","Up Flow",12,480,"Elec","Tank","Water_Saving","Y",0,"Elec",30,0,1997,3,1440,600,"Single Family",30.1878845770005,-97.8379910459997,"test","0"
"157","101638","Duct_Board",4,"Inadequate",21.1,"Attic","Horizontal",20,360,"Elec","Tank","Standard","N",50,"Elec",0,17,1932,2,1085,1084,"Single Family",30.2546556660005,-97.7561779549997,"train","0"
"158","161127","Grey_Flex",8,"Adequate",19,"Attic","Horizontal",9,472,"Gas","Tank","Water_Saving","Y",71,"Gas",26.4,11.4,1993,4,3782,1891,"Single Family",30.4167361920005,-97.7898376909997,"train","0"
"159","331335","Duct_Board",6,"Inadequate",14,"Closet","Up Flow",9,477,"Gas","Tank","Water_Saving","Y",0,"Gas",38,0,1987,3,1432,700,"Single Family",30.2074154900005,-97.8543927499997,"train","0"
"161","154710","Sheet_Metal",4,"Adequate",19,"Attic","Horizontal",11,602,"Gas","Tank","Water_Saving","N",240,"Gas",28,0,1979,3,2410,2410,"Single Family",30.3957484550004,-97.7555798289997,"train","0"
"162","233262","Sheet_Metal",4,"Adequate",19.5,"Closet","Up Flow",9,531,"Elec","Tank","Water_Saving","Y",0,"Elec",14,24,1952,3,1328,1228,"Single Family",30.3365481110005,-97.7480019759997,"test","0"
"163","540608","Mylar_Flex",4,"Adequate",4.4,"Closet","Up Flow",5,480,"Elec","Tank","Standard","Y",160,"Elec",0,0,1981,2,1204,0,"Condo",30.2616827680005,-97.7729077399997,"train","0"
"164","245462","Sheet_Metal",4,"Adequate",19,"Closet","Up Flow",7,610,"Elec","Tank","Water_Saving","Y",106,"Gas",21,17,1972,4,1524,1524,"Single Family",30.3589618780005,-97.6725041579997,"train","0"
"165","154750","Duct_Board",4,"Inadequate",35,"Closet","Up Flow",14,367,"Gas","Tank","Water_Saving","Y",0,"Gas",20,18,1981,3,2118,640,"Single Family",30.3946137900004,-97.7611216809997,"train","1"
"166","129137","Sheet_Metal",2,"Inadequate",51,"Closet","Up Flow",19,392,"Elec","Tank","Water_Saving","N",453,"Elec",0,38,1957,2,1567,300,"Single Family",30.3412466640004,-97.8170293659997,"train","1"
"168","336961","Grey_Flex",6,"Adequate",24,"Closet","Up Flow",10,582,"Gas","Tank","Standard","Y",0,"Gas",12,25,1979,3,1746,1200,"Single Family",30.1881344870005,-97.7887965939997,"test","0"
"169","234013","Sheet_Metal",5,"Adequate",7.3,"Closet","Up Flow",18,463,"Gas","Tank","Standard","N",83,"Gas",24,14,1956,3,926,900,"Single Family",30.3367861780005,-97.7101281119997,"train","0"
"170","149142","Mylar_Flex",6,"Adequate",5,"Attic","Horizontal",10,537,"Gas","Tank","Water_Saving","Y",0,"Gas",28,10,1991,3,2689,2689,"Single Family",30.3808556890004,-97.8530898989997,"test","0"
"174","364188","Grey_Flex",8,"Adequate",18,"Closet","Up Flow",15,608,"Gas","Tank","Water_Saving","Y",0,"Gas",38,0,1999,3,1842,1825,"Single Family",30.2282066150005,-97.8700162959997,"test","0"
"175","314994","Mylar_Flex",6,"Adequate",16,"Attic","Horizontal",3,455,"Elec","Tank","Standard","Y",0,"Elec",22,22,1988,3,1363,1100,"Single Family",30.2253782460004,-97.8641404399997,"train","0"
"176","264527","Grey_Flex",4.2,"Inadequate",19,"Garage","Up Flow",26,406.5,"Elec","Tank","Standard","Y",0,"Elec",12,27,1983,2,813,611,"Single Family",30.4130443870005,-97.7004349039997,"train","0"
"177","460427","Sheet_Metal",6,"Adequate",21,"Closet","Down Flow",19,500,"Gas","Tank","Water_Saving","Y",0,"Gas",11,27,1959,5,4330,3800,"Single Family",30.3652617520004,-97.6724698099997,"train","0"
"178","306205","Duct_Board",4,"Adequate",3,"Closet","Up Flow",7,448,"Gas","Tank","Standard","N",75,"Gas",0,16,1974,3,1974,1794,"Single Family",30.2435293220005,-97.8269701149997,"train","0"
"179","250528","Sheet_Metal",4,"Adequate",10.5,"Closet","Up Flow",20,364,"Elec","Tank","Water_Saving","N",45,"Elec",15,19,1977,2,1092,0,"Single Family",30.3735360370005,-97.6861840879997,"test","0"
"180","134314","Grey_Flex",4,"Adequate",16.3,"","",13,465,"Elec","Tank","Water_Saving","N",212,"Elec",13,25,1980,2,1805,200,"Single Family",30.3507716850004,-97.7789316479997,"train","0"
"181","259960","Mylar_Flex",4,"Adequate",23,"Closet","Up Flow",19,539,"Gas","Tank","Water_Saving","N",0,"Gas",22,16,1995,3,1348,1348,"Single Family",30.3869873770005,-97.6615756109996,"train","0"
"183","R078171","Sheet_Metal",4,"Inadequate",9.3,"Closet","Up Flow",20,441,"Elec","Tank","Water_Saving","Y",25,"Gas",29,9,1976,4,1324,0,"Single Family",30.4519273690005,-97.7987349749997,"train","0"
"184","320821","Sheet_Metal",5,"Inadequate",22,"Closet","Up Flow",17,412,"Elec","Tank","Standard","Y",42,"Gas",11,27,1972,3,1032,860,"Single Family",30.2133339850005,-97.7820596729997,"test","0"
"185","304272","Duct_Board",4,"Adequate",21.1,"Closet","Up Flow",21,607,"Gas","Tank","Water_Saving","Y",195,"Gas",19,19,1975,4,1822,1800,"Single Family",30.2490747280004,-97.8256092279997,"train","0"
"188","153654","Duct_Board",6,"Adequate",15,"Closet","Up Flow",12,465,"Gas","Tank","Water_Saving","Y",0,"Gas",30,8,1984,3,2056,1362,"Condo",30.3899934090005,-97.7608753239997,"train","0"
"189","240022","Sheet_Metal",4,"Inadequate",53.5,"Closet","Up Flow",18,540,"Elec","Tank","Standard","N",71,"Gas",14,24,1966,3,1624,1624,"Single Family",30.3545736400005,-97.7397276909997,"train","1"
"190","373977","Grey_Flex",8,"Adequate",8,"Attic","Horizontal",15,417,"Gas","Tank","Water_Saving","Y",0,"Gas",40,0,1999,3,1670,1670,"Single Family",30.1339584100004,-97.7789505979997,"test","0"
"191","224651","Grey_Flex",6,"Inadequate",9.6,"Attic","Horizontal",8,337.3,"Gas","Tank","Water_Saving","Y",174,"Elec",0,27.5,1947,2,1012,1012,"Single Family",30.3233087810004,-97.7427325379997,"train","0"
