"","TCAD.or.WCAD.Property.ID..s.","Duct.System.1...Type","Duct.System.1...RValue","Duct.System.1...Return.Sizing","Duct.System.1.....Leakage","System.1...Location.Air.Handler","System.1...Air.Handler.Type","System.1...Age..years.","System.1...sqft.ton","Water.Heater...Fuel.Type","Water.Heating...Tank.Type","Toilet.Type","Programmable.Thermostat.Present","Window.Screen.Area.Recommended..sqft.","Furnace...Fuel.Type","Attic.R.Value","Recommended.Additional.R.Value","Year.Built","Bedrooms","Conditioned..sqft.","Attic..sqft.","Home_Type","Lat","Long","set","NeedsDuctFixed"
"8076","501843","Duct_Board",6,"Adequate",31,"Closet","Up Flow",22,509,"Gas","Tank","Water_Saving","Y",0,"Gas",13.2,24.8,1954,3,1527,1527,"Single Family",30.3818292730004,-97.6827220589997,"train","1"
"8077","341428","Grey_Flex",6,"Adequate",21,"Closet","Up Flow",20,460,"Gas","Tank","Standard","N",85,"Gas",18,20,1983,3,1395,1395,"Single Family",30.1814627080005,-97.8040174419997,"train","0"
"8080","502559","Grey_Flex",4,"Adequate",14,"Attic","Up Flow",10,485,"Gas","Tank","Water_Saving","Y",95,"Gas",9,29,1981,3,1455,1000,"Single Family",30.3905832440005,-97.6999824589997,"test","0"
"8082","477485","Mylar_Flex",8,"Adequate",17,"Closet","Up Flow",12,582,"Gas","Tank","Water_Saving","Y",0,"Gas",30,8,2002,4,2330,2330,"Single Family",30.3732659930005,-97.6608578589997,"train","0"
"8083","268968","Grey_Flex",5,"Adequate",21.4,"Closet","Up Flow",18,474,"Gas","Tank","Water_Saving","Y",135,"Gas",9,29,1979,3,1421,700,"Single Family",30.4227174600005,-97.6916548759997,"train","0"
"8086","344602","Grey_Flex",5,"Adequate",19,"Closet","Up Flow",10,450,"Elec","Tank","Standard","N",30,"Elec",0,0,1984,2,900,0,"Fourplex",30.1776761500005,-97.8228258659997,"train","0"
"8087","486993","Duct_Board",6,"Adequate",18,"Attic","Horizontal",13,447,"Gas","Tank","Standard","Y",0,"Gas",30,0,2001,3,1567,1567,"Single Family",30.1457942140005,-97.8087313919997,"train","0"
"8090","553412","Grey_Flex",4,"Adequate",20,"Closet","Up Flow",14,559,"Elec","Tank","Standard","Y",0,"Elec",20,18,1980,3,1118,520,"Condo",30.2281389690004,-97.7717854049997,"test","0"
"8091","100794","Grey_Flex",4,"Inadequate",50,"Garage","Up Flow",15,523,"Gas","Tank","Water_Saving","Y",116,"Gas",17,26,1984,2,1046,274,"Duplex",30.2494359730005,-97.7765888859997,"train","1"
"8092","164479","Sheet_Metal",5,"Adequate",16,"","Up Flow",4,443,"Gas","Tank","Water_Saving","Y",138,"Gas",26,12,1994,4,3400,800,"Single Family",30.4241434900005,-97.7779083179997,"train","0"
"8094","313994","Sheet_Metal",2,"Adequate",25,"","",18,545,"Elec","Tank","Water_Saving","Y",30,"Elec",17,21,1953,3,1636,1636,"Single Family",30.2219553020005,-97.7790287689997,"test","0"
"8096","239226","Mylar_Flex",4,"Inadequate",44,"Closet","Up Flow",26,626,"Elec","Tank","Water_Saving","Y",183,"Elec",22,0,1954,3,1565,1565,"Single Family",30.3489749360004,-97.7267027389997,"train","1"
"8098","553650","Duct_Board",6,"",16,"Attic","Horizontal",10,458.5,"Elec","Tank","Standard","Y",42,"Elec",12,26,1982,2,917,400,"Condo",30.2068817000005,-97.7956469989997,"test","0"
"8099","382309","Mylar_Flex",6,"Adequate",18,"Closet","Up Flow",13,479,"Elec","Tank","Water_Saving","N",42,"Elec",30,0,1995,4,1436,600,"Single Family",30.1683951170004,-97.7935129139997,"train","0"
"8100","438004","Mylar_Flex",8,"Adequate",19,"Attic","Horizontal",12,561,"Elec","Tank","Water_Saving","N",40,"Elec",19,19,1999,3,3185,1500,"Single Family",30.3098870520005,-97.7613336899997,"train","0"
"8102","708448","Mylar_Flex",6,"Adequate",28,"Attic","Horizontal",5,520,"Gas","Tank","Water_Saving","Y",270,"Gas",30,8,2008,4,2601,1681,"Single Family",30.1495333950004,-97.7872367279997,"test","1"
"8103","239275","Mylar_Flex",6,"Adequate",22.1,"Closet","Up Flow",15,358,"Gas","Tank","Standard","Y",48,"Gas",18,20,1949,3,716,700,"Single Family",30.3493148620005,-97.7318122819997,"train","0"
"8106","511842","Duct_Board",4,"Adequate",29.3,"Closet","Up Flow",22,564,"Gas","Tank","Water_Saving","N",228,"Gas",19,19,1973,3,1411,1400,"Single Family",30.2112375800004,-97.8128401089997,"train","1"
"8107","218266","Mylar_Flex",6,"Adequate",20,"Attic","Horizontal",14,407,"Gas","Tank","Water_Saving","N",0,"Elec",0,38,1928,4,1836,1028,"Duplex",30.3075359990004,-97.7260477609997,"train","0"
"8110","240645","Duct_Board",4,"Adequate",15,"Closet","Up Flow",6,444,"Elec","Tank","Water_Saving","N",21,"Elec",13,20,1973,2,1332,684,"Town Homes",30.3527543880004,-97.6865346739997,"train","0"
"8111","330904","Grey_Flex",10,"Adequate",25,"Closet","Up Flow",1,420,"Gas","Tank","Standard","N",0,"Gas",0,10,1982,2,840,0,"Single Family",30.2015834580005,-97.8319126559997,"train","0"
"8114","268899","Grey_Flex",5,"Adequate",25,"Closet","Up Flow",11,375,"Gas","Tank","Standard","N",15,"Gas",19,19,1983,2,750,600,"Duplex",30.4231805640005,-97.6975698179997,"train","0"
"8115","317056","Sheet_Metal",6,"Adequate",17,"Closet","Up Flow",16,482,"Gas","Tank","Standard","Y",39,"Gas",6,32,1971,3,965,965,"Single Family",30.2174083540004,-97.7831410399997,"train","0"
"8116","153566","Grey_Flex",6,"Adequate",30,"Garage","Up Flow",1,650,"Elec","Tank","Standard","N",0,"Elec",22,0,1984,4,2589,1500,"Single Family",30.3508155090005,-97.7389447969997,"train","1"
"8118","302687","Mylar_Flex",6,"Adequate",14,"Attic","Horizontal",11,400,"Elec","Tank","Standard","Y",0,"Gas",19.8,18,1977,3,2000,1100,"Single Family",30.2507826470004,-97.7911891019997,"train","0"
"8119","122315","Mylar_Flex",6,"Adequate",29,"Attic","Horizontal",23,605,"Gas","Tank","Water_Saving","Y",22.5,"Gas",30,0,1981,4,3400,1216,"Single Family",30.3198550430005,-97.7718003179997,"test","1"
"8121","340042","Mylar_Flex",6,"Adequate",17,"Closet","Up Flow",17,507,"Elec","Tank","Water_Saving","Y",262,"Elec",26.4,0,1996,4,2030,700,"Single Family",30.1861659990005,-97.8409366719997,"train","0"
"8123","115232","Sheet_Metal",2,"Adequate",10.7,"Attic","Horizontal",21,546,"Gas","Tank","Standard","Y",146,"Elec",19,19,1978,3,1910,1160,"Single Family",30.2931466070004,-97.8313713809997,"test","0"
"8127","101241","Mylar_Flex",6,"Adequate",12.6,"Closet","Up Flow",17,590,"Gas","Tank","Water_Saving","Y",0,"Gas",11,27,1960,3,1770,1770,"Single Family",30.2529974920005,-97.7844344139997,"train","0"
"8128","308058","Duct_Board",4,"Adequate",21.2,"Closet","Up Flow",5,400,"Elec","Tank","Water_Saving","N",0,"Elec",21.7,16.3,1964,3,1483,1483,"Single Family",30.2312955560005,-97.7813821909997,"train","0"
